country,quintile,pop_quint,outmig_quint,inmig_quint,pop,gdp,gini,gdpshare_quint,ypc_quint,ypc_rel,fundregion,regionname
BDI,q2,0.2,0.12566628015871184,0.08043034908124516,8675.602,3.071832434435739,0.3936,0.10487726805886129,185.67322109648498,0.5243863402943064,SSA,Sub-Saharan Africa
BEL,q2,0.2,0.0923962172417491,0.18258767826803615,10938.739,357.4760039013982,0.27500149,0.13610659609107642,22239.69420755887,0.6805329804553821,WEU,Western Europe
BEN,q2,0.2,0.13520307202165938,0.0760495507232714,9199.259,12.601266759843224,0.4944,0.07879599298339413,539.6789715293831,0.3939799649169707,SSA,Sub-Saharan Africa
BFA,q2,0.2,0.16010021085034645,0.06299442541648424,15605.217,18.55280683067076,0.4576,0.08818267701056748,524.1952650797774,0.4409133850528374,SSA,Sub-Saharan Africa
BGD,q2,0.2,0.1328110286728007,0.09393507670778731,147575.43,221.29653749671897,0.3798,0.10851403044481023,813.6103417503188,0.5425701522240511,SAS,South Asia
BGR,q2,0.2,0.12879561875954024,0.19882347791433153,7425.008,86.64807456732147,0.36457249,0.11253400748497769,6566.225296940999,0.5626700374248884,EEU,Central & Eastern Europe
BHR,q2,0.2,0.15854059100487333,0.11467529988661809,1240.86,,0.414804506,0.0993084015519169,,,MDE,Middle East
BHS,q2,0.2,0.13516166504165353,0.3218574092342741,354.942,7.807282653717896,0.43,0.09533753596757048,10485.19322604565,0.47668767983785243,SIS,Small Island States
BIH,q2,0.2,0.09093011105307065,0.17035479444662746,3705.472,27.618291411230114,0.3304,0.12156083137912509,4530.195431540276,0.6078041568956254,EEU,Central & Eastern Europe
BLR,q2,0.2,0.12659162475761038,0.27412075874634995,9420.574,118.57185022783123,0.36966496,0.11118905137856017,6997.392912063144,0.5559452568928008,FSU,Former Soviet Union
BLZ,q2,0.2,0.13570079549006356,0.1280092428035564,322.464,2.064116123652634,0.5326,0.06929615048621902,2217.8491478996725,0.3464807524310951,CAM,Central America
BOL,q2,0.2,0.1024172828212683,0.143104866773325,10048.59,43.19038245496415,0.54783241,0.06559208652981749,1409.6242872094092,0.3279604326490874,LAM,South America
BRA,q2,0.2,0.13467239181666868,0.13983284810773167,195713.635,1960.360571240302,0.57863876,0.05827142389303392,2918.371063669983,0.29135711946516957,LAM,South America
BRB,q2,0.2,0.11145956628246928,0.13922511415191957,282.131,,0.47,0.08499780393988363,,,SIS,Small Island States
BRN,q2,0.2,0.1425434378063254,0.17075745762381225,388.646,,0.453184598,0.08932152827657173,,,SEA,Southeast Asia
BTN,q2,0.2,0.14676389343476626,0.08519554291999115,685.503,3.4700779256141154,0.44538,0.0913402142797028,2311.861956058981,0.456701071398514,SAS,South Asia
BWA,q2,0.2,0.10827745648959419,0.15912008977977923,1987.105,25.011877248655928,0.6646,0.03932012308980516,2474.630409878311,0.19660061544902577,SSA,Sub-Saharan Africa
